														
																				
					 t 	 S 		 E 		 I 		 R 		Date	Actual-Confirmed	Actual	 S 	 E 	 I 	 R 	
					 0 	" 15,000,000.00 "		 -  .00 		 2.00 		 -   		2-Mar-2020	2	0.002	" 15,000.00 "	 -  .00 	 0.00 	 -  
					 1 	" 14,999,995.50 "	 -4.50 	 4.50 	 4.50 	 1.44 	 -0.56 	 0.56 	0.555555556	3-Mar-2020	2	0.002	" 15,000.00 "	 0.00 	 0.00 	 0.00 	
					 2 	" 14,999,992.25 "	 -3.25 	 7.11 	 2.61 	 1.69 	 0.24 	 0.96 	0.401234568	4-Mar-2020	2	0.002	" 14,999.99 "	 0.01 	 0.00 	 0.00 	
					 3 	" 14,999,988.46 "	 -3.79 	 9.89 	 2.78 	 2.23 	 0.55 	 1.43 	0.46835195	5-Mar-2020	2	0.002	" 14,999.99 "	 0.01 	 0.00 	 0.00 	
					 4 	" 14,999,983.43 "	 -5.02 	 13.50 	 3.61 	 3.02 	 0.79 	 2.05 	0.620283626	6-Mar-2020	4	0.004	" 14,999.98 "	 0.01 	 0.00 	 0.00 	
					 5 	" 14,999,976.63 "	 -6.81 	 18.38 	 4.88 	 4.11 	 1.09 	 2.89 	0.840263759	7-Mar-2020	4	0.004	" 14,999.98 "	 0.02 	 0.00 	 0.00 	
					 6 	" 14,999,967.37 "	 -9.25 	 25.00 	 6.63 	 5.60 	 1.48 	 4.03 	1.142474863	8-Mar-2020	6	0.006	" 14,999.97 "	 0.03 	 0.01 	 0.00 	
					 7 	" 14,999,954.78 "	 -12.59 	 34.02 	 9.02 	 7.61 	 2.02 	 5.58 	1.554306104	9-Mar-2020	19	0.019	" 14,999.95 "	 0.03 	 0.01 	 0.01 	
					 8 	" 14,999,937.65 "	 -17.13 	 46.29 	 12.27 	 10.36 	 2.75 	 7.70 	2.114793931	10-Mar-2020	27	0.027	" 14,999.94 "	 0.05 	 0.01 	 0.01 	
					 9 	" 14,999,914.35 "	 -23.31 	 62.99 	 16.69 	 14.09 	 3.74 	 10.57 	2.877439495	11-Mar-2020	34	0.034	" 14,999.91 "	 0.06 	 0.01 	 0.01 	
					 10 	" 14,999,882.63 "	 -31.71 	 85.70 	 22.71 	 19.18 	 5.08 	 14.49 	3.915122452	12-Mar-2020	34	0.034	" 14,999.88 "	 0.09 	 0.02 	 0.01 	
					 11 	" 14,999,839.48 "	 -43.15 	 116.61 	 30.91 	 26.09 	 6.92 	 19.82 	5.327023036	13-Mar-2020	69	0.069	" 14,999.84 "	 0.12 	 0.03 	 0.02 	
					 12 	" 14,999,780.78 "	 -58.71 	 158.66 	 42.05 	 35.50 	 9.41 	 27.06 	7.248091958	14-Mar-2020	96	0.096	" 14,999.78 "	 0.16 	 0.04 	 0.03 	
					 13 	" 14,999,700.89 "	 -79.88 	 215.87 	 57.22 	 48.31 	 12.80 	 36.93 	9.861946411	15-Mar-2020	117	0.117	" 14,999.70 "	 0.22 	 0.05 	 0.04 	
					 14 	" 14,999,592.21 "	 -108.69 	 293.72 	 77.85 	 65.73 	 17.42 	 50.35 	13.41841862	16-Mar-2020	134	0.134	" 14,999.59 "	 0.29 	 0.07 	 0.05 	
